"Name","Observer","Set","LM1_x","LM1_y","LM1_z","LM2_x","LM2_y","LM2_z","LM3_x","LM3_y","LM3_z"
"Model 6","1","Set C",15.7216270644723,8.96602274276234,-127.005235890657,12.8694783297168,-12.790268819785,-131.612061632631,9.63958473192943,7.379571528598,-132.601179850583
"Model 6","1","Set D",14.5945815733815,8.40169921837697,-128.095964392922,13.2820634150119,-13.8002701783903,-133.495795848319,9.80723658728454,7.33646441894744,-132.399942906394
"Model 6","1","Set E",15.9943284972318,9.07684487112236,-127.956648308171,10.8080214679217,-9.70613422899749,-127.831645340662,9.49599602696409,7.22134652027196,-132.516385534194
"Model 6","1","Set average",15.6029799390039,8.86858481473419,-127.558568269005,11.9190768566298,-12.2007992076849,-130.872158231221,9.61257332159104,7.29343055393642,-132.521289645042
"Model 6","2","Set A",13.736168110824,7.98294151401845,-129.354669362153,11.6467597031169,-12.0881710646835,-130.56616707895,8.94694783031662,8.48053656258997,-135.632791991284
"Model 7","1","Set A",8.47249778708003,3.09474258246773,-137.414615487457,9.87753602954108,-16.301740719928,-137.985583441192,5.82308628726443,2.85095860229348,-142.200353272349
"Model 7","1","Set B",9.16717250882711,3.7526319450479,-138.25663833648,9.63493129753021,-16.8969912614446,-138.01172140539,6.58980768540324,3.57346130129433,-142.621471989112
"Model 7","1","Set C",8.66344236707436,3.25297063650143,-138.245813800936,9.63092056938006,-17.5068552995884,-138.326655427705,6.15634490998178,3.2787158713567,-142.582076833545
"Model 7","1","Set D",8.86197089292646,3.4978980144701,-137.913475307004,9.83288011385924,-17.5826926571733,-138.385893477619,6.55306935348038,3.50178471460862,-142.452074316184
"Model 7","1","Set E",9.06667417691652,3.73861826996958,-137.989526969362,9.11945286792323,-16.5548088647236,-137.988306872797,6.42068965277187,3.31386882009645,-142.151196187265
"Model 7","1","Set average",8.84635154656489,3.46737228969135,-137.964013980248,9.61914417564677,-16.9686177605716,-138.139632124941,6.30859957778034,3.30375786192991,-142.401434519691
"Model 7","2","Set A",8.8620280174975,3.48025801955225,-138.380779364208,9.00941205378372,-16.5959149441251,-138.092075824033,5.61442110626058,3.59508650682322,-144.53809430938
"Model 8","1","Set A",-14.4760775897028,5.54194947685001,-128.984201378104,-9.15057063940153,-16.574920692689,-128.608418418505,-9.14424875663962,4.17283499273433,-133.95317022483
"Model 8","1","Set B",-14.638020778384,5.35661245776681,-129.758158417958,-9.47987871846202,-16.8042344127718,-128.674813194065,-8.8031640214569,4.39728141418126,-135.278726850482
"Model 8","1","Set C",-13.579700708815,4.63885551773946,-128.79711859225,-9.29399754327623,-16.6521728660827,-128.646091081588,-8.78934648136294,4.16772088112862,-134.404361809317
